building_id,A,y,n_valid_apts
11574.0,205.23,59.343333333333334,3
11670.0,308.92,86.64666666666666,3
11688.0,323.72,68.2725,4
11693.0,512.26,113.8475,4
11904.0,238.01,98.06,2
11995.0,373.75,81.2375,4
12005.0,127.05,53.115,2
12945.0,463.39,68.99,6
12948.0,408.23,90.55250000000001,4
13485.0,266.77,81.34666666666666,3
13541.0,300.31,90.48,3
13875.0,175.45,76.455,2
13881.0,209.91,93.41999999999999,2
13987.0,492.28,87.364,5
14134.0,404.26,59.335,6
14193.0,433.61,95.36500000000001,4
14717.0,529.11,93.208,5
14727.0,562.06,82.605,6
14764.0,198.68,84.43,2
14959.0,181.6,78.64500000000001,2
15118.0,245.21,105.74,2
15361.0,198.68,85.465,2
15411.0,436.7,77.588,5
18749.0,435.05,90.57249999999999,4
23229.0,170.12,49.78666666666667,3
23901.0,194.66,85.97,2
24097.0,143.88,61.67,2
24131.0,167.31,73.61,2
24140.0,206.88,59.656666666666666,3
24227.0,324.59,69.79,4
24240.0,209.49,58.72,3
24263.0,259.66,76.38333333333333,3
24313.0,215.4,95.88499999999999,2
24395.0,133.75,57.435,2
24511.0,217.63,63.93333333333333,3
24549.0,162.58,68.37,2
24694.0,249.84,55.76499999999999,4
24770.0,163.44,71.915,2
25194.0,169.18,49.23666666666667,3
25208.0,170.76,49.76666666666667,3
26465.0,167.76,48.21666666666667,3
26600.0,186.38,80.03,2
26636.0,191.98,82.965,2
26693.0,184.28,79.345,2
26844.0,192.01,79.47,2
26870.0,195.14,82.405,2
27594.0,211.08,94.53,2
27740.0,211.07,94.525,2
28393.0,205.3,90.56,2
28422.0,209.68,92.245,2
28461.0,206.37,90.625,2
29010.0,174.94,74.19,2
29338.0,202.62,89.64,2
29341.0,204.43,90.83500000000001,2
29445.0,172.88,72.69,2
29648.0,175.41,76.795,2
29661.0,171.97,75.725,2
29719.0,171.7,76.23500000000001,2
30373.0,143.94,63.245000000000005,2
41652.0,297.26,87.46,3
44946.0,139.84,61.285,2
45397.0,214.53,94.83,2
45583.0,171.45,76.38,2
45661.0,208.57,90.3,2
45670.0,170.02,75.69999999999999,2
47133.0,207.24,60.72,3
47236.0,235.31,103.345,2
47945.0,333.46,71.8025,4
48596.0,357.8,61.3,5
49018.0,458.73,104.7475,4
49307.0,441.45,95.88,4
49312.0,302.86,61.974999999999994,4
49322.0,146.58,60.745000000000005,2
49602.0,219.02,64.09333333333335,3
49895.0,334.77,57.02,5
49898.0,377.36,55.669999999999995,6
49913.0,471.91,68.10666666666667,6
50023.0,457.77,65.97666666666667,6
50543.0,459.89,103.3525,4
50911.0,525.82,92.94,5
8003.0,177.76,78.59,2
27079.0,203.27,87.39500000000001,2
2103.0,164.38,72.485,2
706.0,208.86,91.715,2
29378.0,175.03,76.61,2
1331.0,230.97,102.78,2
29730.0,183.84,80.53,2
8582.0,200.4,86.49,2
5890.0,167.69,74.51499999999999,2
1973.0,243.55,110.155,2
15202.0,160.25,68.805,2
1662.0,189.03,84.035,2
14008.0,250.24,111.905,2
49440.0,241.82,108.64500000000001,2
11650.0,195.7,87.89500000000001,2
1938.0,201.81,89.50999999999999,2
44959.0,141.21,61.445,2
2024.0,166.44,72.555,2
2039.0,156.79,68.39,2
23594.0,190.94,84.145,2
2137.0,201.74,86.305,2
2245.0,172.17,75.49,2
2416.0,180.63,80.69,2
2404.0,145.88,63.885,2
11828.0,147.95,64.81,2
3982.0,200.79,88.67500000000001,2
76.0,176.15,77.89500000000001,2
48797.0,155.26,67.245,2
1705.0,135.3,58.535,2
39334.0,169.88,73.50999999999999,2
3592.0,206.84,91.21000000000001,2
3670.0,151.93,66.73,2
4245.0,234.38,99.95,2
15605.0,233.16,99.63,2
8500.0,238.83,105.55000000000001,2
4325.0,172.81,76.685,2
42393.0,153.33,65.355,2
23536.0,173.5,75.775,2
5095.0,203.05,91.15,2
2571.0,174.27,76.695,2
26505.0,168.9,74.315,2
5866.0,174.49,78.45500000000001,2
10691.0,168.03,74.525,2
50538.0,236.28,106.25999999999999,2
1632.0,191.1,84.42,2
7304.0,204.5,88.07,2
7757.0,183.48,80.68,2
371.0,191.53,82.77,2
5087.0,205.68,92.25999999999999,2
25812.0,214.87,92.9,2
5877.0,167.21,74.87,2
8259.0,210.54,92.245,2
47530.0,155.0,68.11,2
29562.0,209.99,90.64,2
8576.0,200.37,86.535,2
8315.0,179.14,78.855,2
29669.0,180.75,78.93,2
9756.0,164.89,74.15,2
14960.0,181.89,78.64500000000001,2
22825.0,186.81,81.93,2
11816.0,141.95,62.135,2
1374.0,155.83,67.495,2
8867.0,150.79,66.06,2
9200.0,202.18,89.965,2
13662.0,190.16,80.205,2
10279.0,213.31,93.275,2
13628.0,195.53,84.61500000000001,2
10588.0,201.73,90.64,2
14504.0,186.23,81.41499999999999,2
49803.0,223.66,96.305,2
8278.0,210.03,90.43,2
48771.0,242.02,107.32,2
3672.0,150.76,65.4,2
11614.0,209.42,94.595,2
11829.0,147.95,64.81,2
42639.0,172.46,77.195,2
26184.0,151.0,64.75,2
24869.0,146.8,62.55,2
11729.0,188.53,83.955,2
5074.0,197.92,88.63,2
9360.0,151.57,67.105,2
14880.0,208.39,92.025,2
50943.0,225.95,100.94,2
39621.0,229.08,103.66499999999999,2
26209.0,182.53,80.08500000000001,2
12882.0,232.88,102.57499999999999,2
13945.0,162.06,72.17,2
13951.0,159.59,71.05000000000001,2
11581.0,197.93,89.545,2
23887.0,194.47,86.055,2
47666.0,193.36,84.94,2
10651.0,192.36,86.655,2
14151.0,196.47,86.66499999999999,2
24292.0,200.36,90.67500000000001,2
51657.0,166.66,74.515,2
5098.0,175.63,77.89500000000001,2
24503.0,155.16,67.17,2
10176.0,186.64,84.035,2
46489.0,162.79,72.975,2
3673.0,150.54,66.13499999999999,2
27635.0,158.72,68.145,2
25945.0,171.39,72.505,2
10174.0,186.45,83.93,2
6356.0,149.39,66.39,2
5879.0,166.64,74.61,2
1363.0,185.67,81.65,2
26198.0,185.15,81.21,2
14139.0,198.01,88.68,2
44568.0,238.06,108.4,2
693.0,194.79,83.835,2
15218.0,210.68,93.015,2
29300.0,161.05,68.315,2
29284.0,157.74,67.355,2
10180.0,184.8,83.285,2
23770.0,174.01,77.825,2
15200.0,170.85,74.16,2
29126.0,153.89,66.995,2
11605.0,208.86,94.305,2
44284.0,162.28,69.965,2
10700.0,134.67,59.19,2
23768.0,166.8,74.255,2
23769.0,171.96,76.775,2
42633.0,172.49,77.195,2
25296.0,161.84,70.44,2
46497.0,163.65,73.35499999999999,2
49622.0,206.71,93.195,2
29683.0,175.13,76.64,2
2247.0,173.26,75.83500000000001,2
49036.0,150.56,65.505,2
48879.0,161.38,67.52000000000001,2
10396.0,222.38,97.15,2
10823.0,195.51,85.975,2
6424.0,199.04,88.485,2
50531.0,241.17,107.505,2
1689.0,236.56,104.89500000000001,2
1573.0,191.9,83.275,2
3974.0,230.41,103.85,2
10821.0,198.8,87.11000000000001,2
10803.0,229.02,102.7,2
24561.0,181.17,77.03,2
24564.0,168.57,70.89,2
9214.0,232.2,100.255,2
51695.0,228.71,101.395,2
10786.0,195.79,85.75999999999999,2
25332.0,183.27,81.23,2
49006.0,202.73,92.0,2
24514.0,213.54,63.26666666666667,3
11931.0,246.53,72.27999999999999,3
1944.0,272.28,81.18666666666667,3
1977.0,307.13,92.50333333333333,3
30507.0,257.54,74.33333333333333,3
3047.0,168.0,49.42000000000001,3
3617.0,221.45,64.28666666666668,3
11713.0,260.64,77.64,3
1639.0,237.88,70.34666666666666,3
5954.0,243.36,72.33,3
10312.0,294.39,88.57333333333334,3
25095.0,266.29,59.605,4
69.0,293.33,63.325,4
178.0,393.84,85.705,4
468.0,377.88,83.7925,4
8821.0,417.35,92.66250000000001,4
11421.0,401.62,88.755,4
811.0,332.86,72.4375,4
996.0,438.31,97.8625,4
13240.0,306.05,64.895,4
47111.0,414.59,90.6525,4
9442.0,328.37,70.91499999999999,4
2802.0,525.77,117.9775,4
11060.0,335.47,73.57,4
7812.0,311.31,67.8925,4
5323.0,303.81,66.3525,4
6598.0,371.4,81.9175,4
11639.0,313.1,68.87,4
6784.0,337.66,73.83,4
8397.0,281.57,60.474999999999994,4
7859.0,311.39,67.9075,4
7525.0,306.14,67.2525,4
11407.0,312.35,66.9475,4
10031.0,312.45,63.9675,4
995.0,435.85,97.1925,4
7672.0,382.26,84.98249999999999,4
9618.0,333.75,73.2625,4
8853.0,330.48,73.525,4
10949.0,316.89,69.8675,4
8864.0,339.32,75.2675,4
11645.0,400.47,89.4075,4
7684.0,382.75,84.835,4
7696.0,308.15,68.6175,4
9783.0,345.79,75.40249999999999,4
51132.0,323.02,70.665,4
2879.0,386.63,83.9575,4
7776.0,374.79,82.125,4
1718.0,368.92,80.39750000000001,4
5326.0,365.47,65.16,5
10324.0,388.46,69.532,5
11165.0,442.77,65.09333333333333,6
718.0,431.76,63.413333333333334,6
48361.0,506.8,76.29166666666667,6
8319.0,377.77,55.02,6
